timestamp,signal
2022-03-28T09:49:48.319783+02:00,150
2022-03-28T09:49:48.320086+02:00,162
2022-03-28T09:49:48.320408+02:00,145
2022-03-28T09:49:48.338829+02:00,131
2022-03-28T09:49:48.339368+02:00,133
2022-03-28T09:49:48.339700+02:00,113
2022-03-28T09:49:48.340008+02:00,89
2022-03-28T09:49:48.340335+02:00,76
2022-03-28T09:49:48.340658+02:00,77
2022-03-28T09:49:48.341101+02:00,97
2022-03-28T09:49:48.341420+02:00,115
2022-03-28T09:49:48.341728+02:00,118
2022-03-28T09:49:48.342030+02:00,118
2022-03-28T09:49:48.342457+02:00,114
2022-03-28T09:49:48.342769+02:00,97
2022-03-28T09:49:48.343070+02:00,76
2022-03-28T09:49:48.363676+02:00,80
2022-03-28T09:49:48.364121+02:00,89
2022-03-28T09:49:48.364478+02:00,87
2022-03-28T09:49:48.364789+02:00,91
2022-03-28T09:49:48.365097+02:00,90
2022-03-28T09:49:48.365401+02:00,80
2022-03-28T09:49:48.365707+02:00,53
2022-03-28T09:49:48.366138+02:00,41
2022-03-28T09:49:48.366507+02:00,57
2022-03-28T09:49:48.366822+02:00,55
2022-03-28T09:49:48.367146+02:00,43
2022-03-28T09:49:48.367482+02:00,61
2022-03-28T09:49:48.397283+02:00,85
2022-03-28T09:49:48.397891+02:00,90
2022-03-28T09:49:48.398247+02:00,91
2022-03-28T09:49:48.398748+02:00,89
2022-03-28T09:49:48.399216+02:00,74
2022-03-28T09:49:48.399680+02:00,66
2022-03-28T09:49:48.400066+02:00,64
2022-03-28T09:49:48.400360+02:00,70
2022-03-28T09:49:48.400770+02:00,81
2022-03-28T09:49:48.401310+02:00,70
2022-03-28T09:49:48.401711+02:00,34
2022-03-28T09:49:48.402034+02:00,22
2022-03-28T09:49:48.402310+02:00,56
2022-03-28T09:49:48.413797+02:00,81
2022-03-28T09:49:48.414306+02:00,69
2022-03-28T09:49:48.414826+02:00,53
2022-03-28T09:49:48.415289+02:00,60
2022-03-28T09:49:48.415695+02:00,88
2022-03-28T09:49:48.416017+02:00,96
2022-03-28T09:49:48.416354+02:00,72
2022-03-28T09:49:48.416770+02:00,59
2022-03-28T09:49:48.417314+02:00,68
2022-03-28T09:49:48.417732+02:00,74
2022-03-28T09:49:48.418055+02:00,85
2022-03-28T09:49:48.418368+02:00,83
2022-03-28T09:49:48.436257+02:00,48
2022-03-28T09:49:48.437004+02:00,25
2022-03-28T09:49:48.437488+02:00,42
2022-03-28T09:49:48.437860+02:00,50
2022-03-28T09:49:48.438154+02:00,53
2022-03-28T09:49:48.438613+02:00,38
2022-03-28T09:49:48.439050+02:00,18
2022-03-28T09:49:48.439463+02:00,29
2022-03-28T09:49:48.439840+02:00,42
2022-03-28T09:49:48.440141+02:00,29
2022-03-28T09:49:48.440416+02:00,8
2022-03-28T09:49:48.440865+02:00,2
2022-03-28T09:49:48.441381+02:00,-7
2022-03-28T09:49:48.457580+02:00,-5
2022-03-28T09:49:48.458084+02:00,8
2022-03-28T09:49:48.458443+02:00,27
2022-03-28T09:49:48.458959+02:00,27
2022-03-28T09:49:48.459389+02:00,37
2022-03-28T09:49:48.459853+02:00,48
2022-03-28T09:49:48.460187+02:00,32
2022-03-28T09:49:48.460481+02:00,-1
2022-03-28T09:49:48.461041+02:00,-8
2022-03-28T09:49:48.461472+02:00,4
2022-03-28T09:49:48.461841+02:00,23
2022-03-28T09:49:48.462196+02:00,43
2022-03-28T09:49:48.477526+02:00,58
2022-03-28T09:49:48.478044+02:00,55
2022-03-28T09:49:48.478495+02:00,42
2022-03-28T09:49:48.479081+02:00,38
2022-03-28T09:49:48.479510+02:00,28
2022-03-28T09:49:48.481156+02:00,25
2022-03-28T09:49:48.481537+02:00,38
2022-03-28T09:49:48.481885+02:00,43
2022-03-28T09:49:48.502477+02:00,38
2022-03-28T09:49:48.502952+02:00,13
2022-03-28T09:49:48.503256+02:00,-13
2022-03-28T09:49:48.503527+02:00,-26
2022-03-28T09:49:48.503782+02:00,8
2022-03-28T09:49:48.504006+02:00,43
2022-03-28T09:49:48.504265+02:00,58
2022-03-28T09:49:48.504515+02:00,70
2022-03-28T09:49:48.504857+02:00,53
2022-03-28T09:49:48.505125+02:00,2
2022-03-28T09:49:48.505397+02:00,-18
2022-03-28T09:49:48.505657+02:00,10
2022-03-28T09:49:48.505926+02:00,53
2022-03-28T09:49:48.526198+02:00,66
2022-03-28T09:49:48.526594+02:00,40
2022-03-28T09:49:48.526863+02:00,28
2022-03-28T09:49:48.527120+02:00,44
2022-03-28T09:49:48.527401+02:00,69
2022-03-28T09:49:48.527653+02:00,90
2022-03-28T09:49:48.527904+02:00,86
2022-03-28T09:49:48.528152+02:00,83
2022-03-28T09:49:48.528427+02:00,91
2022-03-28T09:49:48.528695+02:00,98
2022-03-28T09:49:48.528949+02:00,89
2022-03-28T09:49:48.529217+02:00,85
2022-03-28T09:49:48.551572+02:00,83
2022-03-28T09:49:48.551909+02:00,75
2022-03-28T09:49:48.552197+02:00,64
2022-03-28T09:49:48.552496+02:00,52
2022-03-28T09:49:48.552750+02:00,44
2022-03-28T09:49:48.553001+02:00,34
2022-03-28T09:49:48.553268+02:00,26
2022-03-28T09:49:48.553604+02:00,36
2022-03-28T09:49:48.553868+02:00,57
2022-03-28T09:49:48.554119+02:00,58
2022-03-28T09:49:48.554365+02:00,24
2022-03-28T09:49:48.554610+02:00,18
2022-03-28T09:49:48.554855+02:00,44
2022-03-28T09:49:48.575024+02:00,57
2022-03-28T09:49:48.575512+02:00,59
2022-03-28T09:49:48.575795+02:00,57
2022-03-28T09:49:48.576051+02:00,57
2022-03-28T09:49:48.576342+02:00,66
2022-03-28T09:49:48.576597+02:00,71
2022-03-28T09:49:48.576845+02:00,66
2022-03-28T09:49:48.577113+02:00,70
2022-03-28T09:49:48.577457+02:00,77
2022-03-28T09:49:48.577719+02:00,90
2022-03-28T09:49:48.577967+02:00,85
2022-03-28T09:49:48.578215+02:00,58
2022-03-28T09:49:48.601482+02:00,39
2022-03-28T09:49:48.601933+02:00,34
2022-03-28T09:49:48.602191+02:00,43
2022-03-28T09:49:48.602483+02:00,42
2022-03-28T09:49:48.602746+02:00,37
2022-03-28T09:49:48.602982+02:00,52
2022-03-28T09:49:48.603213+02:00,68
2022-03-28T09:49:48.603452+02:00,66
2022-03-28T09:49:48.603847+02:00,58
2022-03-28T09:49:48.604178+02:00,45
2022-03-28T09:49:48.604460+02:00,29
2022-03-28T09:49:48.604696+02:00,39
2022-03-28T09:49:48.604917+02:00,52
2022-03-28T09:49:48.623674+02:00,51
2022-03-28T09:49:48.623987+02:00,50
2022-03-28T09:49:48.624231+02:00,53
2022-03-28T09:49:48.624457+02:00,52
2022-03-28T09:49:48.624684+02:00,44
2022-03-28T09:49:48.624908+02:00,44
2022-03-28T09:49:48.625133+02:00,34
2022-03-28T09:49:48.625359+02:00,25
2022-03-28T09:49:48.625585+02:00,44
2022-03-28T09:49:48.625808+02:00,59
2022-03-28T09:49:48.626083+02:00,68
2022-03-28T09:49:48.626351+02:00,66
2022-03-28T09:49:48.647407+02:00,45
2022-03-28T09:49:48.647716+02:00,38
2022-03-28T09:49:48.647958+02:00,66
2022-03-28T09:49:48.648185+02:00,105
2022-03-28T09:49:48.648413+02:00,116
2022-03-28T09:49:48.648637+02:00,101
2022-03-28T09:49:48.648862+02:00,82
2022-03-28T09:49:48.649086+02:00,74
2022-03-28T09:49:48.649312+02:00,71
2022-03-28T09:49:48.649536+02:00,76
2022-03-28T09:49:48.649761+02:00,89
2022-03-28T09:49:48.650020+02:00,84
2022-03-28T09:49:48.650244+02:00,91
2022-03-28T09:49:48.673671+02:00,84
2022-03-28T09:49:48.673984+02:00,84
2022-03-28T09:49:48.674222+02:00,117
2022-03-28T09:49:48.674446+02:00,145
2022-03-28T09:49:48.674670+02:00,152
2022-03-28T09:49:48.674917+02:00,152
2022-03-28T09:49:48.675147+02:00,122
2022-03-28T09:49:48.675370+02:00,81
2022-03-28T09:49:48.675593+02:00,84
2022-03-28T09:49:48.675813+02:00,107
2022-03-28T09:49:48.676075+02:00,108
2022-03-28T09:49:48.676371+02:00,100
2022-03-28T09:49:48.703769+02:00,85
2022-03-28T09:49:48.704227+02:00,82
2022-03-28T09:49:48.704476+02:00,69
2022-03-28T09:49:48.705050+02:00,51
2022-03-28T09:49:48.705424+02:00,54
2022-03-28T09:49:48.705738+02:00,57
2022-03-28T09:49:48.706009+02:00,56
2022-03-28T09:49:48.706377+02:00,75
2022-03-28T09:49:48.706815+02:00,75
2022-03-28T09:49:48.707186+02:00,54
2022-03-28T09:49:48.707486+02:00,37
2022-03-28T09:49:48.707748+02:00,35
2022-03-28T09:49:48.707974+02:00,18
2022-03-28T09:49:48.721310+02:00,3
2022-03-28T09:49:48.721775+02:00,1
2022-03-28T09:49:48.722032+02:00,1
2022-03-28T09:49:48.722286+02:00,18
2022-03-28T09:49:48.722521+02:00,32
2022-03-28T09:49:48.722748+02:00,35
2022-03-28T09:49:48.722974+02:00,57
2022-03-28T09:49:48.723199+02:00,67
2022-03-28T09:49:48.723452+02:00,39
2022-03-28T09:49:48.723717+02:00,3
2022-03-28T09:49:48.723951+02:00,-2
2022-03-28T09:49:48.724173+02:00,20
2022-03-28T09:49:48.746227+02:00,39
2022-03-28T09:49:48.746731+02:00,23
2022-03-28T09:49:48.746984+02:00,20
2022-03-28T09:49:48.747251+02:00,33
2022-03-28T09:49:48.747528+02:00,19
2022-03-28T09:49:48.747779+02:00,-5
2022-03-28T09:49:48.748013+02:00,-12
2022-03-28T09:49:48.748240+02:00,-6
2022-03-28T09:49:48.748467+02:00,17
2022-03-28T09:49:48.748681+02:00,11
2022-03-28T09:49:48.748902+02:00,-6
2022-03-28T09:49:48.749125+02:00,-9
2022-03-28T09:49:48.749345+02:00,0
2022-03-28T09:49:48.771182+02:00,6
2022-03-28T09:49:48.771518+02:00,1
2022-03-28T09:49:48.771765+02:00,-5
2022-03-28T09:49:48.771992+02:00,3
2022-03-28T09:49:48.772246+02:00,22
2022-03-28T09:49:48.772515+02:00,40
2022-03-28T09:49:48.772741+02:00,48
2022-03-28T09:49:48.772965+02:00,52
2022-03-28T09:49:48.773190+02:00,60
2022-03-28T09:49:48.773411+02:00,57
2022-03-28T09:49:48.773630+02:00,51
2022-03-28T09:49:48.773849+02:00,40
2022-03-28T09:49:48.802435+02:00,41
2022-03-28T09:49:48.802811+02:00,33
2022-03-28T09:49:48.803053+02:00,28
2022-03-28T09:49:48.803279+02:00,41
2022-03-28T09:49:48.803501+02:00,41
2022-03-28T09:49:48.803724+02:00,32
2022-03-28T09:49:48.803947+02:00,27
2022-03-28T09:49:48.804170+02:00,33
2022-03-28T09:49:48.804396+02:00,41
2022-03-28T09:49:48.804622+02:00,71
2022-03-28T09:49:48.804876+02:00,89
2022-03-28T09:49:48.805107+02:00,74
2022-03-28T09:49:48.805327+02:00,57
2022-03-28T09:49:48.820073+02:00,75
2022-03-28T09:49:48.820594+02:00,71
2022-03-28T09:49:48.821004+02:00,37
2022-03-28T09:49:48.821455+02:00,28
2022-03-28T09:49:48.821840+02:00,36
2022-03-28T09:49:48.822218+02:00,37
2022-03-28T09:49:48.822600+02:00,53
2022-03-28T09:49:48.822978+02:00,65
2022-03-28T09:49:48.823359+02:00,60
2022-03-28T09:49:48.823770+02:00,43
2022-03-28T09:49:48.824150+02:00,41
2022-03-28T09:49:48.824524+02:00,66
2022-03-28T09:49:48.842531+02:00,68
2022-03-28T09:49:48.843053+02:00,20
2022-03-28T09:49:48.843464+02:00,0
2022-03-28T09:49:48.843851+02:00,21
2022-03-28T09:49:48.844235+02:00,39
2022-03-28T09:49:48.844620+02:00,49
2022-03-28T09:49:48.845106+02:00,39
2022-03-28T09:49:48.845510+02:00,26
2022-03-28T09:49:48.845897+02:00,44
2022-03-28T09:49:48.846327+02:00,87
2022-03-28T09:49:48.846707+02:00,84
2022-03-28T09:49:48.847079+02:00,32
2022-03-28T09:49:48.847540+02:00,-40
2022-03-28T09:49:48.868838+02:00,-56
2022-03-28T09:49:48.869357+02:00,10
2022-03-28T09:49:48.869841+02:00,76
2022-03-28T09:49:48.870250+02:00,90
2022-03-28T09:49:48.870644+02:00,61
2022-03-28T09:49:48.871031+02:00,45
2022-03-28T09:49:48.871410+02:00,55
2022-03-28T09:49:48.871794+02:00,54
2022-03-28T09:49:48.872178+02:00,54
2022-03-28T09:49:48.872647+02:00,82
2022-03-28T09:49:48.873030+02:00,108
2022-03-28T09:49:48.873407+02:00,131
2022-03-28T09:49:48.891264+02:00,135
2022-03-28T09:49:48.891780+02:00,138
2022-03-28T09:49:48.892189+02:00,144
2022-03-28T09:49:48.892578+02:00,144
2022-03-28T09:49:48.892965+02:00,135
2022-03-28T09:49:48.893346+02:00,119
2022-03-28T09:49:48.893729+02:00,103
2022-03-28T09:49:48.894111+02:00,102
2022-03-28T09:49:48.894492+02:00,109
2022-03-28T09:49:48.894874+02:00,120
2022-03-28T09:49:48.895253+02:00,131
2022-03-28T09:49:48.895630+02:00,152
2022-03-28T09:49:48.896008+02:00,149
2022-03-28T09:49:48.917581+02:00,122
2022-03-28T09:49:48.918112+02:00,124
2022-03-28T09:49:48.918654+02:00,151
2022-03-28T09:49:48.919063+02:00,154
2022-03-28T09:49:48.919452+02:00,141
2022-03-28T09:49:48.919839+02:00,129
2022-03-28T09:49:48.920223+02:00,113
2022-03-28T09:49:48.920605+02:00,84
2022-03-28T09:49:48.920989+02:00,66
2022-03-28T09:49:48.921467+02:00,42
2022-03-28T09:49:48.921849+02:00,4
2022-03-28T09:49:48.922232+02:00,-9
2022-03-28T09:49:48.941247+02:00,21
2022-03-28T09:49:48.941744+02:00,50
2022-03-28T09:49:48.942147+02:00,38
2022-03-28T09:49:48.942559+02:00,-3
2022-03-28T09:49:48.942955+02:00,-26
2022-03-28T09:49:48.943340+02:00,8
2022-03-28T09:49:48.943721+02:00,66
2022-03-28T09:49:48.944101+02:00,75
2022-03-28T09:49:48.944480+02:00,32
2022-03-28T09:49:48.944992+02:00,3
2022-03-28T09:49:48.945383+02:00,-7
2022-03-28T09:49:48.945762+02:00,-6
2022-03-28T09:49:48.946242+02:00,-4
2022-03-28T09:49:48.966591+02:00,-13
2022-03-28T09:49:48.967449+02:00,-24
2022-03-28T09:49:48.967930+02:00,-36
2022-03-28T09:49:48.968400+02:00,-41
2022-03-28T09:49:48.968824+02:00,-37
2022-03-28T09:49:48.969240+02:00,-53
2022-03-28T09:49:48.969688+02:00,-78
2022-03-28T09:49:48.970176+02:00,-82
2022-03-28T09:49:48.970572+02:00,-51
2022-03-28T09:49:48.970963+02:00,-35
2022-03-28T09:49:48.971348+02:00,-28
2022-03-28T09:49:48.971731+02:00,-58
2022-03-28T09:49:48.990053+02:00,-86
2022-03-28T09:49:48.990612+02:00,-66
2022-03-28T09:49:48.991130+02:00,-17
2022-03-28T09:49:48.991570+02:00,0
2022-03-28T09:49:48.991974+02:00,-27
2022-03-28T09:49:48.992370+02:00,-65
2022-03-28T09:49:48.992761+02:00,-89
2022-03-28T09:49:48.993154+02:00,-100
2022-03-28T09:49:48.993681+02:00,-102
2022-03-28T09:49:48.994090+02:00,-77
2022-03-28T09:49:48.994483+02:00,-74
2022-03-28T09:49:48.994959+02:00,-81
2022-03-28T09:49:48.995357+02:00,-53
2022-03-28T09:49:49.016797+02:00,-4
2022-03-28T09:49:49.017484+02:00,4
2022-03-28T09:49:49.017931+02:00,-7
2022-03-28T09:49:49.018347+02:00,-27
2022-03-28T09:49:49.018815+02:00,-38
2022-03-28T09:49:49.019213+02:00,-40
2022-03-28T09:49:49.019621+02:00,-54
2022-03-28T09:49:49.020085+02:00,-67
2022-03-28T09:49:49.020528+02:00,-53
2022-03-28T09:49:49.020915+02:00,-40
2022-03-28T09:49:49.021297+02:00,-30
2022-03-28T09:49:49.021675+02:00,-41
2022-03-28T09:49:49.037624+02:00,-67
2022-03-28T09:49:49.038240+02:00,-55
2022-03-28T09:49:49.038691+02:00,-17
2022-03-28T09:49:49.039118+02:00,3
2022-03-28T09:49:49.039542+02:00,10
2022-03-28T09:49:49.040014+02:00,1
2022-03-28T09:49:49.040452+02:00,-4
2022-03-28T09:49:49.040880+02:00,11
2022-03-28T09:49:49.041299+02:00,36
2022-03-28T09:49:49.041718+02:00,45
2022-03-28T09:49:49.042135+02:00,50
2022-03-28T09:49:49.042602+02:00,26
2022-03-28T09:49:49.043022+02:00,25
2022-03-28T09:49:49.063822+02:00,55
2022-03-28T09:49:49.064454+02:00,34
2022-03-28T09:49:49.066442+02:00,-20
2022-03-28T09:49:49.067380+02:00,-39
2022-03-28T09:49:49.073756+02:00,-20
2022-03-28T09:49:49.086491+02:00,-10
2022-03-28T09:49:49.091312+02:00,-2
2022-03-28T09:49:49.092461+02:00,3
2022-03-28T09:49:49.095121+02:00,-6
2022-03-28T09:49:49.095959+02:00,-11
2022-03-28T09:49:49.096744+02:00,-8
2022-03-28T09:49:49.097367+02:00,4
2022-03-28T09:49:49.098191+02:00,3
2022-03-28T09:49:49.099012+02:00,-4
2022-03-28T09:49:49.099576+02:00,-19
2022-03-28T09:49:49.100343+02:00,-19
2022-03-28T09:49:49.101108+02:00,1
2022-03-28T09:49:49.101755+02:00,-20
2022-03-28T09:49:49.102270+02:00,-27
2022-03-28T09:49:49.102811+02:00,-3
2022-03-28T09:49:49.103482+02:00,36
2022-03-28T09:49:49.104080+02:00,45
2022-03-28T09:49:49.104521+02:00,7
2022-03-28T09:49:49.105029+02:00,-14
2022-03-28T09:49:49.105465+02:00,0
2022-03-28T09:49:49.112573+02:00,-2
2022-03-28T09:49:49.113116+02:00,-44
2022-03-28T09:49:49.113657+02:00,-69
2022-03-28T09:49:49.114109+02:00,-35
2022-03-28T09:49:49.114548+02:00,-3
2022-03-28T09:49:49.114981+02:00,-2
2022-03-28T09:49:49.115413+02:00,10
2022-03-28T09:49:49.115888+02:00,38
2022-03-28T09:49:49.116487+02:00,21
2022-03-28T09:49:49.116948+02:00,-18
2022-03-28T09:49:49.117382+02:00,3
2022-03-28T09:49:49.117769+02:00,87
2022-03-28T09:49:49.136226+02:00,149
2022-03-28T09:49:49.136764+02:00,117
2022-03-28T09:49:49.137276+02:00,64
2022-03-28T09:49:49.137685+02:00,45
2022-03-28T09:49:49.138076+02:00,42
2022-03-28T09:49:49.138472+02:00,43
2022-03-28T09:49:49.138852+02:00,39
2022-03-28T09:49:49.139229+02:00,51
2022-03-28T09:49:49.139648+02:00,81
2022-03-28T09:49:49.140104+02:00,92
2022-03-28T09:49:49.140485+02:00,73
2022-03-28T09:49:49.140928+02:00,18
2022-03-28T09:49:49.141363+02:00,2
2022-03-28T09:49:49.161309+02:00,43
2022-03-28T09:49:49.161857+02:00,91
2022-03-28T09:49:49.162257+02:00,80
2022-03-28T09:49:49.162639+02:00,49
2022-03-28T09:49:49.163018+02:00,28
2022-03-28T09:49:49.163513+02:00,25
2022-03-28T09:49:49.163903+02:00,55
2022-03-28T09:49:49.164285+02:00,85
2022-03-28T09:49:49.164737+02:00,93
2022-03-28T09:49:49.165167+02:00,101
2022-03-28T09:49:49.165545+02:00,115
2022-03-28T09:49:49.165916+02:00,115
2022-03-28T09:49:49.185008+02:00,113
2022-03-28T09:49:49.185495+02:00,109
2022-03-28T09:49:49.185960+02:00,57
2022-03-28T09:49:49.186432+02:00,26
2022-03-28T09:49:49.186826+02:00,55
2022-03-28T09:49:49.187205+02:00,106
2022-03-28T09:49:49.187596+02:00,120
2022-03-28T09:49:49.187986+02:00,106
2022-03-28T09:49:49.188439+02:00,90
2022-03-28T09:49:49.188879+02:00,102
2022-03-28T09:49:49.189254+02:00,122
2022-03-28T09:49:49.189629+02:00,122
2022-03-28T09:49:49.189998+02:00,124
2022-03-28T09:49:49.210037+02:00,145
2022-03-28T09:49:49.210671+02:00,150
2022-03-28T09:49:49.211442+02:00,164
2022-03-28T09:49:49.211916+02:00,148
2022-03-28T09:49:49.212397+02:00,120
2022-03-28T09:49:49.212797+02:00,114
2022-03-28T09:49:49.213179+02:00,140
2022-03-28T09:49:49.213629+02:00,145
